mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.005599880218505859,0.0013571201332836739,0.0067999839782714845,0.0007489153371083493,4,{'kneighborsclassifier__n_neighbors': 4},0.45239049145299143,0.3819380958599974,0.41163314614078617,0.4508202371105597,0.44168734491315137,0.42769386309549723,0.027173910374115623,7,0.6000823299372234,0.49921115391671256,0.5489537282640731,0.5899176175038244,0.5642326423576424,0.5604794943958951,0.03559698477301796,11
0.005000162124633789,0.0006324872463547327,0.006599140167236328,0.000490137790577566,1,{'kneighborsclassifier__n_neighbors': 1},0.46634615384615385,0.3870314744678072,0.40059749249053156,0.4101185552798456,0.4535428728977116,0.42352730979641,0.03089305633874202,12,0.6104839910647805,0.5056105311624888,0.5495807674912152,0.5356895356895357,0.5943903091444075,0.5591510269104856,0.038433049168215196,12
0.004601430892944336,0.000490136329298393,0.008598041534423829,0.004408738238137751,6,{'kneighborsclassifier__n_neighbors': 6},0.4645432692307692,0.3864601018675721,0.3757019720517174,0.46384753239591947,0.4336228287841191,0.4248351408660195,0.03758360681447866,10,0.6106019507918241,0.5077201997633827,0.5014558091481168,0.611111111111111,0.5565035631776456,0.557478526798416,0.04756876881558749,13
0.00480036735534668,0.00040080866078600236,0.007398653030395508,0.0007997512959535553,16,{'kneighborsclassifier__n_neighbors': 16},0.4480502136752137,0.3584628444560533,0.3549203343345958,0.42628205128205127,0.48493934381031156,0.41453095751164515,0.05082524824713175,15,0.6046284681665972,0.4687515512534128,0.47419684571764903,0.564368513149001,0.6454464249364782,0.5514783606446276,0.07019578991563455,14
0.004599618911743164,0.0004899209169248172,0.007600021362304687,0.0017436739377544163,3,{'kneighborsclassifier__n_neighbors': 3},0.46814903846153844,0.34458665273605854,0.4035686300117539,0.4369313482216708,0.4286600496277916,0.41637914381176266,0.04140436398374687,14,0.6058639563600235,0.45277547874066865,0.5386296285500529,0.5811965811965812,0.5367028804528804,0.5430337050600413,0.05217292064253902,15
0.004601097106933594,0.0008008979053289549,0.00739893913269043,0.000800085586389903,17,{'kneighborsclassifier__n_neighbors': 17},0.398571047008547,0.3584628444560533,0.34078294371163637,0.4636752136752137,0.47105045492142267,0.4065085007545746,0.05315060493269436,16,0.5320820807426636,0.47017957020900786,0.4506644518272425,0.621102343825663,0.628352407842461,0.5404761708894077,0.07389320737508782,16
0.005600500106811524,0.0027267673809231235,0.007000255584716797,0.0019991887307814764,18,{'kneighborsclassifier__n_neighbors': 18},0.4046474358974359,0.36652736058508556,0.34685581820556355,0.44978632478632474,0.4571615660325338,0.40499570110138866,0.04378962874464871,17,0.542088276920228,0.47868470827877196,0.46252005075534486,0.601607696729648,0.6112394363736045,0.5392280338115194,0.06104859435972219,17
0.004999113082885742,1.7019813821387052e-06,0.006600046157836914,0.0004896113832334002,2,{'kneighborsclassifier__n_neighbors': 2},0.4265491452991453,0.38149732271124465,0.37583257150319965,0.4084642955610698,0.4185621725944306,0.40218110153381803,0.020118068070176968,18,0.5566047755602545,0.5090517366162219,0.5175871857805588,0.5325793400588483,0.5358090185676392,0.5303264113167045,0.01637428928762407,18
0.00459904670715332,0.0004901371875104987,0.006400632858276367,0.0010178039425111694,24,{'kneighborsclassifier__n_neighbors': 24},0.4480502136752137,0.3356895651038266,0.34685581820556355,0.39626413013509787,0.44978632478632474,0.3953292103812053,0.04827527858113397,19,0.6007305911633259,0.44298229332937383,0.4665985177613084,0.5249091121511384,0.5988767786520597,0.5268194586114413,0.06529011304867631,19
0.005000925064086914,0.0006330145836284434,0.006799888610839844,0.00040040318561869036,19,{'kneighborsclassifier__n_neighbors': 19},0.398571047008547,0.34375408123285883,0.34233381219798875,0.418217535153019,0.47105045492142267,0.39478538610276726,0.04844609218778123,20,0.535747918686829,0.4479578720943318,0.45829822645238466,0.5556219890178613,0.6289909156635454,0.5253233843829904,0.06671046048017687,20
